Iteration    0 	Loss PDE = 0.105977470585 	Lyap = 8.21e-02
Iteration   50 	Loss PDE = 0.092832197155 	Lyap = 3.07e-01
Iteration  100 	Loss PDE = 0.094259856522 	Lyap = 3.20e-01
Iteration  150 	Loss PDE = 0.095225351465 	Lyap = 3.34e-01
Iteration  200 	Loss PDE = 0.090534856672 	Lyap = 3.53e-01
Iteration  250 	Loss PDE = 0.090878517198 	Lyap = 3.56e-01
Iteration  300 	Loss PDE = 0.090486766527 	Lyap = 3.58e-01
Iteration  350 	Loss PDE = 0.090066043377 	Lyap = 3.58e-01
Iteration  400 	Loss PDE = 0.089600770359 	Lyap = 3.59e-01
Iteration  450 	Loss PDE = 0.089021654199 	Lyap = 3.59e-01
Iteration  500 	Loss PDE = 0.088257350547 	Lyap = 3.59e-01
Iteration  550 	Loss PDE = 0.087399035705 	Lyap = 3.59e-01
Iteration  600 	Loss PDE = 0.086825911677 	Lyap = 3.59e-01
Iteration  650 	Loss PDE = 0.080828323333 	Lyap = 3.50e-01
Iteration  700 	Loss PDE = 0.087996066854 	Lyap = 3.60e-01
Iteration  750 	Loss PDE = 0.087041531401 	Lyap = 3.59e-01
Iteration  800 	Loss PDE = 0.086653330513 	Lyap = 3.59e-01
Iteration  850 	Loss PDE = 0.086393062029 	Lyap = 3.59e-01
Iteration  900 	Loss PDE = 0.086204142474 	Lyap = 3.59e-01
Iteration  950 	Loss PDE = 0.090153410071 	Lyap = 3.60e-01
Iteration 1000 	Loss PDE = 0.086922685112 	Lyap = 3.59e-01
Iteration 1050 	Loss PDE = 0.086413381912 	Lyap = 3.59e-01
Iteration 1100 	Loss PDE = 0.086094096989 	Lyap = 3.59e-01
Iteration 1150 	Loss PDE = 0.085919548424 	Lyap = 3.59e-01
Iteration 1200 	Loss PDE = 0.091566599429 	Lyap = 3.61e-01
Iteration 1250 	Loss PDE = 0.086064540490 	Lyap = 3.59e-01
Iteration 1300 	Loss PDE = 0.086214509766 	Lyap = 3.59e-01
Iteration 1350 	Loss PDE = 0.085834471611 	Lyap = 3.59e-01
Iteration 1400 	Loss PDE = 0.085688241436 	Lyap = 3.59e-01
Iteration 1450 	Loss PDE = 0.091776423959 	Lyap = 3.63e-01
Iteration 1500 	Loss PDE = 0.086524297043 	Lyap = 3.59e-01
Iteration 1550 	Loss PDE = 0.085894713053 	Lyap = 3.59e-01
Iteration 1600 	Loss PDE = 0.085657605058 	Lyap = 3.59e-01
Iteration 1650 	Loss PDE = 0.106441938749 	Lyap = 3.68e-01
Iteration 1700 	Loss PDE = 0.087620115809 	Lyap = 3.60e-01
Iteration 1750 	Loss PDE = 0.086160920267 	Lyap = 3.59e-01
Iteration 1800 	Loss PDE = 0.085771284503 	Lyap = 3.59e-01
Iteration 1850 	Loss PDE = 0.085590292600 	Lyap = 3.59e-01
Iteration 1900 	Loss PDE = 0.088141829005 	Lyap = 3.57e-01
Iteration 1950 	Loss PDE = 0.086527825831 	Lyap = 3.59e-01
Iteration 2000 	Loss PDE = 0.048062567443 	Lyap = 3.04e-01
Iteration 2050 	Loss PDE = 0.002095309508 	Lyap = 4.92e-02
Iteration 2100 	Loss PDE = 0.000944644647 	Lyap = 4.45e-02
Iteration 2150 	Loss PDE = 0.000433187747 	Lyap = 4.37e-02
Iteration 2200 	Loss PDE = 0.000222018801 	Lyap = 4.20e-02
Iteration 2250 	Loss PDE = 0.000145427911 	Lyap = 4.06e-02
Iteration 2300 	Loss PDE = 0.000114508308 	Lyap = 3.96e-02
Iteration 2350 	Loss PDE = 0.000097770970 	Lyap = 3.91e-02
Iteration 2400 	Loss PDE = 0.000086281300 	Lyap = 3.88e-02
Iteration 2450 	Loss PDE = 0.000077506265 	Lyap = 3.86e-02
Iteration 2500 	Loss PDE = 0.000070533257 	Lyap = 3.85e-02
Iteration 2550 	Loss PDE = 0.000064893498 	Lyap = 3.84e-02
Iteration 2600 	Loss PDE = 0.000060279845 	Lyap = 3.83e-02
Iteration 2650 	Loss PDE = 0.000056469005 	Lyap = 3.82e-02
Iteration 2700 	Loss PDE = 0.000053292208 	Lyap = 3.82e-02
Iteration 2750 	Loss PDE = 0.000050619669 	Lyap = 3.81e-02
Iteration 2800 	Loss PDE = 0.000048350463 	Lyap = 3.80e-02
Iteration 2850 	Loss PDE = 0.000046405385 	Lyap = 3.80e-02
Iteration 2900 	Loss PDE = 0.000044721759 	Lyap = 3.80e-02
Iteration 2950 	Loss PDE = 0.000043249633 	Lyap = 3.79e-02
Iteration 3000 	Loss PDE = 0.000041948959 	Lyap = 3.79e-02
Iteration 3050 	Loss PDE = 0.000040787475 	Lyap = 3.79e-02
Iteration 3100 	Loss PDE = 0.000039739107 	Lyap = 3.78e-02
Iteration 3150 	Loss PDE = 0.000038782740 	Lyap = 3.78e-02
Iteration 3200 	Loss PDE = 0.000037901259 	Lyap = 3.78e-02
Iteration 3250 	Loss PDE = 0.000037080792 	Lyap = 3.78e-02
Iteration 3300 	Loss PDE = 0.000036310112 	Lyap = 3.78e-02
Iteration 3350 	Loss PDE = 0.000035580146 	Lyap = 3.78e-02
Iteration 3400 	Loss PDE = 0.000034883582 	Lyap = 3.78e-02
Iteration 3450 	Loss PDE = 0.000034214548 	Lyap = 3.78e-02
Iteration 3500 	Loss PDE = 0.000033568346 	Lyap = 3.78e-02
Iteration 3550 	Loss PDE = 0.000032941231 	Lyap = 3.78e-02
Iteration 3600 	Loss PDE = 0.000032330234 	Lyap = 3.78e-02
Iteration 3650 	Loss PDE = 0.000031733014 	Lyap = 3.78e-02
Iteration 3700 	Loss PDE = 0.000031147736 	Lyap = 3.78e-02
Iteration 3750 	Loss PDE = 0.000030572966 	Lyap = 3.78e-02
Iteration 3800 	Loss PDE = 0.000030007596 	Lyap = 3.78e-02
Iteration 3850 	Loss PDE = 0.000029450774 	Lyap = 3.78e-02
Iteration 3900 	Loss PDE = 0.000028901848 	Lyap = 3.78e-02
Iteration 3950 	Loss PDE = 0.000028360326 	Lyap = 3.78e-02
Iteration 4000 	Loss PDE = 0.000027825836 	Lyap = 3.78e-02
